Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,P52298,NCBP2,Nuclear cap-binding protein subunit 2,14,3,3,4,156,18.0,8.21,9550265
High,Q9NQW6,ANLN,Anillin,3,4,4,6,1124,124.1,8.07,6356066.25
High,P50750,CDK9,Cyclin-dependent kinase 9,6,2,2,3,372,42.8,8.79,3191579
High,Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial",2,1,1,3,704,80.1,8.21,13090342
High,O43824,GTPBP6,Putative GTP-binding protein 6,4,2,2,4,516,56.9,9.42,3424272.75
High,Q15286,RAB35,Ras-related protein Rab-35,13,2,2,3,201,23.0,8.29,6661307
High,Q13144,EIF2B5,Translation initiation factor eIF-2B subunit epsilon,4,2,2,4,721,80.3,5.08,2677303.125
High,Q96G21,IMP4,U3 small nucleolar ribonucleoprotein protein IMP4,8,2,2,3,291,33.7,9.47,1545425
High,Q0VDF9,HSPA14,Heat shock 70 kDa protein 14,4,1,1,1,509,54.8,5.59,
High,Q9BRP8,PYM1,Partner of Y14 and mago,9,1,1,2,204,22.6,9.45,912486
High,Q13247,SRSF6,Serine/arginine-rich splicing factor 6,7,3,2,4,344,39.6,11.43,9623401
High,P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,5,4,2,5,753,84.4,9.57,1707888.75
High,P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,4,2,2,3,515,59.2,6.84,1332123.75
High,Q9H7E9,C8orf33,UPF0488 protein C8orf33,16,3,3,5,229,25.0,9.95,8661172.4375
High,P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",8,3,1,6,406,44.5,8.79,24503856.875
High,P13807,GYS1,"Glycogen [starch] synthase, muscle",8,3,3,5,737,83.7,6.18,1377815.5
High,P05997,COL5A2,Collagen alpha-2(V) chain,2,1,1,1,1499,144.8,6.46,
High,Q9H0H5,RACGAP1,Rac GTPase-activating protein 1,6,3,3,3,632,71.0,8.88,2587681.625
High,Q9Y3D3,MRPS16,"28S ribosomal protein S16, mitochondrial",19,2,2,4,137,15.3,9.5,4286189.5
High,Q02040,AKAP17A,A-kinase anchor protein 17A,4,3,3,5,695,80.7,9.73,3032131.3125
High,O60508,CDC40,Pre-mRNA-processing factor 17,6,2,2,3,579,65.5,7.06,4294154
High,Q8TDW0,LRRC8C,Volume-regulated anion channel subunit LRRC8C,3,2,1,2,803,92.4,7.62,844397.5
High,P51532,SMARCA4,Transcription activator BRG1,2,3,3,4,1647,184.5,7.88,1748644.375
High,Q96C19,EFHD2,EF-hand domain-containing protein D2,10,2,2,2,240,26.7,5.2,1777096.875
High,Q9UHF1,EGFL7,Epidermal growth factor-like protein 7,7,1,1,2,273,29.6,8.16,
High,Q96S97,MYADM,Myeloid-associated differentiation marker,7,1,1,1,322,35.3,8.15,
High,Q6PK04,CCDC137,Coiled-coil domain-containing protein 137,16,3,3,4,289,33.2,10.93,1797263
High,Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2,2,3,3,3,2752,299.4,12.06,1669552.4375
High,Q9BX40,LSM14B,Protein LSM14 homolog B,8,2,2,3,385,42.0,9.69,2359193
High,P82932,MRPS6,"28S ribosomal protein S6, mitochondrial",17,2,2,2,125,14.2,9.26,1372173.625
High,Q12891,HYAL2,Hyaluronidase-2,8,2,2,2,473,53.8,8.19,1420637.25
High,Q13889,GTF2H3,General transcription factor IIH subunit 3,8,2,2,3,308,34.4,7.02,1385395.25
High,Q9Y388,RBMX2,"RNA-binding motif protein, X-linked 2",7,2,2,4,322,37.3,9.83,2337868
High,Q16540,MRPL23,"39S ribosomal protein L23, mitochondrial",15,2,2,4,153,17.8,9.69,4956953
High,Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A,11,2,2,2,249,27.9,8.62,1160690.75
High,Q14571,ITPR2,"Inositol 1,4,5-trisphosphate receptor type 2",1,2,2,3,2701,307.9,6.43,1115701.125
High,P35249,RFC4,Replication factor C subunit 4,10,3,3,5,363,39.7,8.02,2994729.75
High,Q8N556,AFAP1,Actin filament-associated protein 1,3,2,2,3,730,80.7,8.68,2737141
High,Q6P6C2,ALKBH5,RNA demethylase ALKBH5,7,4,4,6,394,44.2,9.09,3610301.25
High,Q8TAP9,MPLKIP,M-phase-specific PLK1-interacting protein,14,1,1,2,179,19.1,10.23,1346267.75
High,P35269,GTF2F1,General transcription factor IIF subunit 1,3,1,1,1,517,58.2,7.49,2399513.25
High,Q9UKU9,ANGPTL2,Angiopoietin-related protein 2,6,2,2,3,493,57.1,7.53,1091479.625
High,O94992,HEXIM1,Protein HEXIM1,11,2,2,3,359,40.6,4.89,1614780
High,Q92997,DVL3,Segment polarity protein dishevelled homolog DVL-3,4,3,3,6,716,78.0,6.65,5072886.875
High,Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,3,3,3,5,1102,128.2,5.55,4498164.875
High,Q9Y3T9,NOC2L,Nucleolar complex protein 2 homolog,4,3,3,4,749,84.9,5.62,2484961.125
High,Q86UW6,N4BP2,NEDD4-binding protein 2,2,2,2,3,1770,198.7,5.21,
High,Q9BWU0,SLC4A1AP,Kanadaptin,5,3,3,5,796,88.8,5.19,3592084.875
High,Q9NY15,STAB1,Stabilin-1,2,5,5,6,2570,275.3,6.49,5105693.375
High,Q75N03,CBLL1,E3 ubiquitin-protein ligase Hakai,4,1,1,2,491,54.5,8.29,3979356.5
High,P57088,TMEM33,Transmembrane protein 33,8,2,2,4,247,28.0,9.7,6862835.5
High,Q9BYD3,MRPL4,"39S ribosomal protein L4, mitochondrial",5,1,1,2,311,34.9,9.72,2412334.5
High,Q96N66,MBOAT7,Lysophospholipid acyltransferase 7,3,1,1,2,472,52.7,8.97,995475.875
High,Q12907,LMAN2,Vesicular integral-membrane protein VIP36,7,1,1,1,356,40.2,6.95,
High,P25311,AZGP1,Zinc-alpha-2-glycoprotein,6,2,2,4,298,34.2,6.05,4226663.625
High,Q96AQ6,PBXIP1,Pre-B-cell leukemia transcription factor-interacting protein 1,3,2,2,3,731,80.6,5.33,4199090.25
High,P27824,CANX,Calnexin,4,2,2,2,592,67.5,4.6,1013258.125
High,P41567,EIF1,Eukaryotic translation initiation factor 1,15,1,1,1,113,12.7,7.44,4862244
High,Q969X6,UTP4,U3 small nucleolar RNA-associated protein 4 homolog,8,3,3,3,686,76.8,8.85,2095856.625
High,P29375,KDM5A,Lysine-specific demethylase 5A,2,2,2,3,1690,192.0,6.49,982822.75
High,P17252,PRKCA,Protein kinase C alpha type,4,2,2,2,672,76.7,7.05,2112719.5625
High,Q8TED0,UTP15,U3 small nucleolar RNA-associated protein 15 homolog,6,2,2,4,518,58.4,9.11,997292.375
High,P49959,MRE11,Double-strand break repair protein MRE11,4,2,2,3,708,80.5,5.9,1449538.625
High,Q9HB71,CACYBP,Calcyclin-binding protein,9,2,2,3,228,26.2,8.25,4585127.625
High,O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,9,2,2,2,359,39.6,7.17,1680247
High,P63272,SUPT4H1,Transcription elongation factor SPT4,20,2,2,3,117,13.2,8.06,14601002
High,Q92504,SLC39A7,Zinc transporter SLC39A7,5,1,1,1,469,50.1,6.87,1701055.125
High,Q6DD87,ZNF787,Zinc finger protein 787,6,2,2,3,382,40.4,7.96,1577577.75
High,P68036,UBE2L3,Ubiquitin-conjugating enzyme E2 L3,10,1,1,2,154,17.9,8.51,1657724.5
High,P07947,YES1,Tyrosine-protein kinase Yes,5,3,2,4,543,60.8,6.74,23700511.375
High,Q96PV6,LENG8,Leukocyte receptor cluster member 8,3,2,2,2,800,88.1,9.11,811645.3125
High,Q9H9B4,SFXN1,Sideroflexin-1,7,2,2,4,322,35.6,9.07,2708613.875
High,Q9Y3E5,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial",12,2,2,3,179,19.2,8.73,9116735.5
High,P62714,PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,5,1,1,2,309,35.6,5.43,1841187.75
High,Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2,5,2,2,3,552,63.2,5.94,3613180.5
High,Q9BZZ5,API5,Apoptosis inhibitor 5,6,3,3,3,524,59.0,7.34,10036270.25
High,P51148,RAB5C,Ras-related protein Rab-5C,12,2,2,2,216,23.5,8.41,1315395.875
High,Q8IY17,PNPLA6,Patatin-like phospholipase domain-containing protein 6,2,2,2,3,1375,150.9,7.74,1934610.6875
High,Q68D10,SPTY2D1,Protein SPT2 homolog,4,2,2,3,685,75.6,9.79,1186796
High,Q9UI10,EIF2B4,Translation initiation factor eIF-2B subunit delta,4,2,2,2,523,57.5,9.38,3958870.5
High,Q9BVC5,C2orf49,Ashwin,10,2,2,4,232,25.8,9.74,2907310.25
High,Q9Y4E8,USP15,Ubiquitin carboxyl-terminal hydrolase 15,3,3,3,4,981,112.3,5.22,3890108.75
High,Q8TAE8,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,15,2,2,2,222,25.4,10.02,2168750.25
High,O60306,AQR,RNA helicase aquarius,3,4,4,5,1485,171.2,6.37,5827044.8125
High,Q08AD1,CAMSAP2,Calmodulin-regulated spectrin-associated protein 2,3,2,2,2,1489,168.0,6.8,1188920
High,P48651,PTDSS1,Phosphatidylserine synthase 1,6,2,2,2,473,55.5,8.43,4866016
High,P19367,HK1,Hexokinase-1,3,3,3,3,917,102.4,6.8,2269833.25
High,Q15269,PWP2,Periodic tryptophan protein 2 homolog,2,2,2,4,919,102.4,6.15,3623132.375
High,Q13642,FHL1,Four and a half LIM domains protein 1,7,2,2,3,323,36.2,8.97,4608726.25
High,Q9UNX4,WDR3,WD repeat-containing protein 3,3,2,2,2,943,106.0,6.64,2092675.3125
High,O15269,SPTLC1,Serine palmitoyltransferase 1,7,2,2,2,473,52.7,6.01,961873.4375
High,Q9UNL2,SSR3,Translocon-associated protein subunit gamma,8,1,1,2,185,21.1,9.61,1703155.625
High,Q9BUT9,MCRIP2,MAPK regulated corepressor interacting protein 2,19,1,1,2,160,17.8,9.41,
High,P07858,CTSB,Cathepsin B,8,2,2,3,339,37.8,6.3,2304020.25
High,Q5VYS8,TUT7,Terminal uridylyltransferase 7,2,4,4,5,1495,171.1,6.83,5355281.375
High,O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,12,3,3,5,380,41.8,8.54,9262980.0625
High,P11388,TOP2A,DNA topoisomerase 2-alpha,3,4,2,6,1531,174.3,8.72,4403997.25
High,Q96QK1,VPS35,Vacuolar protein sorting-associated protein 35,2,1,1,2,796,91.6,5.49,
High,P33991,MCM4,DNA replication licensing factor MCM4,3,2,2,2,863,96.5,6.74,1394503
High,Q15056,EIF4H,Eukaryotic translation initiation factor 4H,9,1,1,2,248,27.4,7.23,4041534.75
High,Q9BYB0,SHANK3,SH3 and multiple ankyrin repeat domains protein 3,2,2,2,2,1731,184.6,8.88,2605803.25
High,P41214,EIF2D,Eukaryotic translation initiation factor 2D,7,2,2,3,584,64.7,7.65,
High,P25789,PSMA4,Proteasome subunit alpha type-4,9,2,2,3,261,29.5,7.72,2450281.75
High,Q14192,FHL2,Four and a half LIM domains protein 2,8,2,2,3,279,32.2,7.55,9540418.75
High,P54105,CLNS1A,Methylosome subunit pICln,5,1,1,2,237,26.2,4.11,1291338.125
High,Q9UMR2,DDX19B,ATP-dependent RNA helicase DDX19B,3,1,1,1,479,53.9,6.3,
High,Q9BY89,KIAA1671,Uncharacterized protein KIAA1671,1,2,2,2,1806,196.6,8.47,1830707.9375
High,P18887,XRCC1,DNA repair protein XRCC1,3,2,2,4,633,69.5,6.28,4481114.25
High,O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,6,2,2,2,681,78.8,4.86,52685681.5
High,Q15398,DLGAP5,Disks large-associated protein 5,4,3,3,3,846,95.1,9.0,2788571.5
High,P05161,ISG15,Ubiquitin-like protein ISG15,13,2,2,5,165,17.9,7.44,30932697
High,Q9NVU7,SDAD1,Protein SDA1 homolog,2,2,2,4,687,79.8,9.25,1069348.125
High,P55769,SNU13,NHP2-like protein 1,9,1,1,1,128,14.2,8.46,4470103
High,Q9NZM1,MYOF,Myoferlin,3,4,4,4,2061,234.6,6.18,2446106
High,Q93052,LPP,Lipoma-preferred partner,6,3,3,4,612,65.7,7.37,4293816.125
High,Q6ZNL6,FGD5,"FYVE, RhoGEF and PH domain-containing protein 5",2,3,3,3,1462,159.8,5.01,1736421.1875
High,P78357,CNTNAP1,Contactin-associated protein 1,2,2,2,3,1384,156.2,7.05,
High,Q9UEE9,CFDP1,Craniofacial development protein 1,7,2,2,3,299,33.6,4.81,1651513.875
High,O60828,PQBP1,Polyglutamine-binding protein 1,13,2,2,3,265,30.5,6.33,3909868.25
High,Q9UJK0,TSR3,18S rRNA aminocarboxypropyltransferase,4,1,1,2,312,33.6,6.87,1388280.125
High,Q504Q3,PAN2,PAN2-PAN3 deadenylation complex catalytic subunit PAN2,2,2,2,4,1202,135.3,5.99,1028218.9375
High,Q9UFW8,CGGBP1,CGG triplet repeat-binding protein 1,17,3,3,4,167,18.8,8.95,2408664.5
High,P50570,DNM2,Dynamin-2,4,3,3,4,870,98.0,7.44,2134345.75
High,Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1,8,3,2,3,371,43.7,9.92,2632039.6875
High,A6NHQ2,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,7,2,1,3,334,34.8,10.35,2894353.25
High,Q8NEY1,NAV1,Neuron navigator 1,2,2,2,2,1877,202.3,8.07,1087383
High,P31948,STIP1,Stress-induced-phosphoprotein 1,4,2,2,4,543,62.6,6.8,1563454.625
High,P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",4,1,1,2,483,53.1,7.23,
High,Q14331,FRG1,Protein FRG1,5,1,1,2,258,29.2,9.01,2846401.25
High,P15531,NME1,Nucleoside diphosphate kinase A,19,2,2,3,152,17.1,6.19,3744657.875
High,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",5,2,2,3,504,56.0,8.53,1361150.625
High,O43719,HTATSF1,HIV Tat-specific factor 1,3,3,3,4,755,85.8,4.4,1062071.25
High,O43148,RNMT,mRNA cap guanine-N7 methyltransferase,4,2,2,3,476,54.8,6.61,6999802
High,O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,9,2,2,2,338,38.3,5.53,2697668
High,P82912,MRPS11,"28S ribosomal protein S11, mitochondrial",22,3,3,3,194,20.6,10.81,6353169.25
High,O00712,NFIB,Nuclear factor 1 B-type,5,2,2,3,420,47.4,8.87,1849031.625
High,Q12996,CSTF3,Cleavage stimulation factor subunit 3,3,2,2,2,717,82.9,8.12,1002821.8125
High,Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,6,1,1,1,540,56.5,5.52,1451207.125
High,Q5U5Q3,MEX3C,RNA-binding E3 ubiquitin-protein ligase MEX3C,6,3,2,5,659,69.3,5.0,1792588.875
High,Q05397,PTK2,Focal adhesion kinase 1,6,5,5,6,1052,119.2,6.62,4687591.25
High,Q04323,UBXN1,UBX domain-containing protein 1,4,1,1,2,297,33.3,5.25,1547801.25
High,Q02880,TOP2B,DNA topoisomerase 2-beta,2,3,1,5,1626,183.2,8.0,1441900.75
High,Q86SE5,RALYL,RNA-binding Raly-like protein,4,1,1,2,291,32.3,7.93,11424802
High,Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial",10,2,2,4,187,20.8,9.1,5586942
High,Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1,3,1,1,1,645,72.4,7.61,
High,Q96TA2,YME1L1,ATP-dependent zinc metalloprotease YME1L1,2,1,1,2,773,86.4,8.76,1540084.375
High,Q8TAA3,PSMA8,Proteasome subunit alpha-type 8,5,1,1,1,256,28.5,8.98,
High,P61964,WDR5,WD repeat-containing protein 5,8,2,2,3,334,36.6,8.27,1798019.875
High,Q9Y281,CFL2,Cofilin-2,15,2,1,3,166,18.7,7.88,
High,P61626,LYZ,Lysozyme C,8,1,1,1,148,16.5,9.16,4428539
High,Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial",8,2,2,3,215,23.4,8.65,1268123.875
High,Q99988,GDF15,Growth/differentiation factor 15,10,2,2,2,308,34.1,9.66,1497071.75
High,Q6P1X5,TAF2,Transcription initiation factor TFIID subunit 2,2,2,2,3,1199,136.9,8.19,1861144.03125
High,Q96JM3,CHAMP1,Chromosome alignment-maintaining phosphoprotein 1,2,1,1,1,812,89.0,8.44,
High,P78346,RPP30,Ribonuclease P protein subunit p30,7,2,2,3,268,29.3,8.91,2823435.625
High,Q14004,CDK13,Cyclin-dependent kinase 13,2,2,2,3,1512,164.8,9.69,3727741.75
High,Q9NVH0,EXD2,Exonuclease 3'-5' domain-containing protein 2,2,1,1,1,621,70.3,8.32,
High,Q6P1L8,MRPL14,"39S ribosomal protein L14, mitochondrial",14,2,2,4,145,15.9,10.24,4434014.5
High,P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15,15,2,2,2,127,14.4,9.6,4096636
High,Q13472,TOP3A,DNA topoisomerase 3-alpha,4,2,1,2,1001,112.3,8.34,
High,O75367,MACROH2A1,Core histone macro-H2A.1,12,3,3,3,369,39.2,9.83,2984714.3125
High,P63000,RAC1,Ras-related C3 botulinum toxin substrate 1,7,1,1,2,192,21.4,8.5,1991343
High,Q9P1Y6,PHRF1,PHD and RING finger domain-containing protein 1,2,2,2,2,1649,178.6,8.95,2330996.625
High,Q9UII4,HERC5,E3 ISG15--protein ligase HERC5,3,2,2,2,1024,116.8,7.65,1313488.125
High,P07339,CTSD,Cathepsin D,5,2,2,3,412,44.5,6.54,4863241.75
High,O75190,DNAJB6,DnaJ homolog subfamily B member 6,8,2,2,3,326,36.1,9.16,1957758.875
High,Q9Y251,HPSE,Heparanase,3,2,2,3,543,61.1,9.28,2699092.5
High,O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",10,2,2,3,264,30.2,7.5,5857844.625
High,Q96GM8,TOE1,Target of EGR1 protein 1,7,2,2,3,510,56.5,7.18,9370708.75
High,O00746,NME4,"Nucleoside diphosphate kinase, mitochondrial",18,3,3,4,187,20.6,10.29,5892329.25
High,Q08170,SRSF4,Serine/arginine-rich splicing factor 4,3,2,1,3,494,56.6,11.52,5124103
High,Q02241,KIF23,Kinesin-like protein KIF23,1,1,1,2,960,110.0,8.51,1201172.875
High,Q99959,PKP2,Plakophilin-2,2,1,1,2,881,97.4,9.33,1390891.5
High,P61081,UBE2M,NEDD8-conjugating enzyme Ubc12,13,3,3,6,183,20.9,7.69,6901360.875
High,P61106,RAB14,Ras-related protein Rab-14,13,2,2,3,215,23.9,6.21,
High,Q99661,KIF2C,Kinesin-like protein KIF2C,4,3,3,3,725,81.3,7.83,1986071.25
High,P12004,PCNA,Proliferating cell nuclear antigen,8,2,2,3,261,28.8,4.69,2086678.125
High,Q03701,CEBPZ,CCAAT/enhancer-binding protein zeta,2,2,2,2,1054,120.9,5.94,1110741.375
High,Q16637,SMN2,Survival motor neuron protein,7,1,1,2,294,31.8,6.55,
High,Q14145,KEAP1,Kelch-like ECH-associated protein 1,4,2,2,2,624,69.6,6.44,8237901
High,Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2,11,2,1,2,209,22.5,8.6,1111560.5
High,Q13464,ROCK1,Rho-associated protein kinase 1,2,3,1,5,1354,158.1,5.9,1480349.875
High,Q9Y4Z0,LSM4,U6 snRNA-associated Sm-like protein LSm4,14,2,2,4,139,15.3,9.99,7083550
High,Q9NZT1,CALML5,Calmodulin-like protein 5,10,1,1,1,146,15.9,4.44,2169386
High,Q9ULM6,CNOT6,CCR4-NOT transcription complex subunit 6,2,1,1,2,557,63.3,7.27,1168314.875
High,Q6ZVX7,NCCRP1,F-box only protein 50,11,1,1,1,275,30.8,6.62,1940319.875
High,Q9P015,MRPL15,"39S ribosomal protein L15, mitochondrial",7,2,2,3,296,33.4,10.01,15877425.75
High,Q99590,SCAF11,Protein SCAF11,1,1,1,2,1463,164.6,8.41,730564.625
High,Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37,3,3,3,4,1157,129.5,8.1,4266832.875
High,Q13418,ILK,Integrin-linked protein kinase,6,3,3,4,452,51.4,8.07,9145487.25
High,O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",2,1,1,2,658,72.9,7.34,1308011.625
High,Q15629,TRAM1,Translocating chain-associated membrane protein 1,5,2,2,3,374,43.0,9.63,3321474.625
High,Q9UMY1,NOL7,Nucleolar protein 7,5,1,1,1,257,29.4,9.67,
High,Q9ULL1,PLEKHG1,Pleckstrin homology domain-containing family G member 1,1,2,2,4,1385,155.3,6.24,4102013
High,P62306,SNRPF,Small nuclear ribonucleoprotein F,24,2,2,3,86,9.7,4.67,2150658
High,Q96CT7,CCDC124,Coiled-coil domain-containing protein 124,6,1,1,2,223,25.8,9.54,1509546
High,Q96JP5,ZFP91,E3 ubiquitin-protein ligase ZFP91,2,1,1,1,570,63.4,7.36,1322012
High,P28066,PSMA5,Proteasome subunit alpha type-5,12,2,2,2,241,26.4,4.79,
High,P62877,RBX1,E3 ubiquitin-protein ligase RBX1,17,1,1,1,108,12.3,6.96,
High,P78559,MAP1A,Microtubule-associated protein 1A,1,2,1,3,2803,305.3,4.92,
High,P48444,ARCN1,Coatomer subunit delta,4,2,2,4,511,57.2,6.21,3036774.875
High,Q9HAZ1,CLK4,Dual specificity protein kinase CLK4,3,1,1,2,481,57.5,8.68,
High,P51530,DNA2,DNA replication ATP-dependent helicase/nuclease DNA2,1,2,2,4,1060,120.3,7.74,57272102
High,Q9HCG8,CWC22,Pre-mRNA-splicing factor CWC22 homolog,4,3,3,5,908,105.4,7.03,2107209.4375
High,O14578,CIT,Citron Rho-interacting kinase,1,1,1,1,2027,231.3,6.57,658590.125
High,Q9BYN8,MRPS26,"28S ribosomal protein S26, mitochondrial",10,2,2,3,205,24.2,10.39,1795619.75
High,P43307,SSR1,Translocon-associated protein subunit alpha,7,2,2,4,286,32.2,4.49,7236616
High,Q9Y2Z0,SUGT1,Protein SGT1 homolog,3,1,1,1,365,41.0,5.16,1726046.75
High,Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1,2,2,2,3,1150,132.7,5.76,1742895.25
High,P24468,NR2F2,COUP transcription factor 2,2,1,1,2,414,45.5,8.28,1015490.5625
High,Q15032,R3HDM1,R3H domain-containing protein 1,2,2,2,2,1099,120.6,8.75,3098403.5625
High,O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",4,2,1,4,408,44.5,8.19,3854573
High,Q8NEJ9,NGDN,Neuroguidin,4,1,1,1,315,35.9,9.57,
High,Q13454,TUSC3,Tumor suppressor candidate 3,5,2,2,3,348,39.7,9.91,9327009
High,O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",2,2,2,3,1230,138.5,8.98,2857135.75
High,P84243,H3-3B,Histone H3.3,12,2,2,3,136,15.3,11.27,97509976
High,P40616,ARL1,ADP-ribosylation factor-like protein 1,6,1,1,2,181,20.4,5.72,1332792.875
High,O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,10,2,2,3,178,20.5,8.59,11139461
High,Q9UM00,TMCO1,Calcium load-activated calcium channel,6,1,1,1,239,27.1,10.26,2647916
High,O95816,BAG2,BAG family molecular chaperone regulator 2,9,2,2,2,211,23.8,6.7,2909138.375
High,Q96F86,EDC3,Enhancer of mRNA-decapping protein 3,6,2,2,2,508,56.0,7.11,4310558.25
High,Q9BTT0,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,5,2,2,3,268,30.7,3.85,5315113.875
High,Q92665,MRPS31,"28S ribosomal protein S31, mitochondrial",4,1,1,2,395,45.3,9.29,1370112.375
High,P60900,PSMA6,Proteasome subunit alpha type-6,5,1,1,2,246,27.4,6.76,2044623.375
High,P00750,PLAT,Tissue-type plasminogen activator,3,2,2,3,562,62.9,7.8,3958326.625
High,Q9Y2H6,FNDC3A,Fibronectin type-III domain-containing protein 3A,1,1,1,1,1198,131.8,6.71,
High,P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14,3,1,1,1,494,56.0,5.3,
High,O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",6,2,2,2,463,52.5,7.55,2464500.625
High,P05204,HMGN2,Non-histone chromosomal protein HMG-17,17,1,1,2,90,9.4,9.99,3071100
High,Q15555,MAPRE2,Microtubule-associated protein RP/EB family member 2,6,1,1,1,327,37.0,5.57,2352260.5
High,Q9NUL7,DDX28,Probable ATP-dependent RNA helicase DDX28,6,2,2,2,540,59.5,10.42,
High,Q96JN8,NEURL4,Neuralized-like protein 4,1,1,1,2,1562,166.8,5.86,2080603.125
High,P35606,COPB2,Coatomer subunit beta',3,2,2,2,906,102.4,5.27,
High,P57678,GEMIN4,Gem-associated protein 4,2,2,2,3,1058,120.0,6.04,2953010.875
High,Q96QA5,GSDMA,Gasdermin-A,6,3,3,6,445,49.3,5.29,5251834
High,Q9BT40,INPP5K,Inositol polyphosphate 5-phosphatase K,2,1,1,1,448,51.1,6.54,1292212
High,Q8N954,GPATCH11,G patch domain-containing protein 11,8,2,2,4,285,33.3,5.86,3382461.375
High,P14174,MIF,Macrophage migration inhibitory factor,10,1,1,1,115,12.5,7.88,2165186.75
High,P15153,RAC2,Ras-related C3 botulinum toxin substrate 2,8,2,2,2,192,21.4,7.61,3911051.375
High,P55196,AFDN,Afadin,1,1,1,1,1824,206.7,6.47,
High,P61962,DCAF7,DDB1- and CUL4-associated factor 7,4,1,1,1,342,38.9,5.52,1415778.75
High,O14773,TPP1,Tripeptidyl-peptidase 1,5,2,2,2,563,61.2,6.48,2175829.25
High,Q9Y5T5,USP16,Ubiquitin carboxyl-terminal hydrolase 16,2,1,1,1,823,93.5,6.93,1071824.875
High,Q5VW36,FOCAD,Focadhesin,1,2,2,3,1801,199.9,6.62,1047167.25
High,P61011,SRP54,Signal recognition particle subunit SRP54,2,1,1,2,504,55.7,8.75,1452730.375
High,P01859,IGHG2,Immunoglobulin heavy constant gamma 2,9,2,2,4,395,43.8,6.52,
High,Q9NYL4,FKBP11,Peptidyl-prolyl cis-trans isomerase FKBP11,9,1,1,2,201,22.2,9.39,1753350.625
High,Q96LT9,RNPC3,RNA-binding region-containing protein 3,2,1,1,2,517,58.5,7.72,1331933.375
High,Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12",2,1,1,1,609,67.3,6.57,1212641.375
High,O75334,PPFIA2,Liprin-alpha-2,2,2,2,2,1257,143.2,6.11,
High,O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,5,2,1,3,414,46.6,7.01,815511.8125
High,O95470,SGPL1,Sphingosine-1-phosphate lyase 1,3,1,1,1,568,63.5,9.16,1329879.5
High,Q9UJZ1,STOML2,"Stomatin-like protein 2, mitochondrial",4,1,1,1,356,38.5,7.39,
High,Q9BXS5,AP1M1,AP-1 complex subunit mu-1,5,2,2,4,423,48.6,7.3,1158269.375
High,Q92890,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,5,1,1,1,307,34.5,6.7,
High,Q8WYQ9,ZCCHC14,Zinc finger CCHC domain-containing protein 14,3,2,2,2,949,100.0,8.18,1064610.625
High,Q8N3V7,SYNPO,Synaptopodin,3,2,2,3,929,99.4,8.72,777020.875
High,P02788,LTF,Lactotransferrin,3,2,2,4,710,78.1,8.12,9865942.625
High,O75554,WBP4,WW domain-binding protein 4,3,1,1,2,376,42.5,5.57,1525165.875
