Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,Q9NX20,MRPL16,"39S ribosomal protein L16, mitochondrial",6,2,2,4,251,28.4,10.13,2398293
High,Q9H307,PNN,Pinin,4,3,3,5,717,81.6,7.14,4672310.75
High,Q63HR2,TNS2,Tensin-2,2,2,2,3,1409,152.5,8.35,1050584.125
High,Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,10,4,4,6,393,43.4,6.62,3001827.5625
High,Q9HCN4,GPN1,GPN-loop GTPase 1,4,1,1,2,374,41.7,4.92,967097.5625
High,P23458,JAK1,Tyrosine-protein kinase JAK1,3,3,3,5,1154,133.2,7.55,1255344.75
High,P60953,CDC42,Cell division control protein 42 homolog,9,1,1,2,191,21.2,6.55,1493038.625
High,Q9UNL2,SSR3,Translocon-associated protein subunit gamma,8,1,1,2,185,21.1,9.61,886358.75
High,Q9NYV4,CDK12,Cyclin-dependent kinase 12,2,2,2,3,1490,164.1,9.44,1698986.5625
High,Q9Y2V2,CARHSP1,Calcium-regulated heat-stable protein 1,11,1,1,2,147,15.9,8.21,833449.4375
High,O00170,AIP,AH receptor-interacting protein,12,3,3,5,330,37.6,6.42,3042781.125
High,P62308,SNRPG,Small nuclear ribonucleoprotein G,17,2,2,3,76,8.5,8.88,6147733.625
High,P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",5,2,2,3,483,53.1,7.23,1909315.375
High,Q9NXS2,QPCTL,Glutaminyl-peptide cyclotransferase-like protein,7,2,2,3,382,42.9,9.82,1411336.875
High,Q9Y2R9,MRPS7,"28S ribosomal protein S7, mitochondrial",14,3,3,3,242,28.1,9.99,1616137.875
High,Q14739,LBR,Delta(14)-sterol reductase LBR,4,2,2,4,615,70.7,9.36,3156063.5
High,Q9Y4B5,MTCL1,Microtubule cross-linking factor 1,2,3,3,4,1905,209.4,6.43,1341041.5
High,P61626,LYZ,Lysozyme C,12,2,2,3,148,16.5,9.16,6530365.75
High,P58546,MTPN,Myotrophin,14,1,1,2,118,12.9,5.52,1376398.75
High,Q9UH99,SUN2,SUN domain-containing protein 2,9,4,4,4,717,80.3,6.73,635734.375
High,Q9NVH1,DNAJC11,DnaJ homolog subfamily C member 11,6,3,3,4,559,63.2,8.4,1338426.125
High,Q66K74,MAP1S,Microtubule-associated protein 1S,3,2,2,3,1059,112.1,7.3,1581842.75
High,O00214,LGALS8,Galectin-8,6,2,2,2,317,35.8,8.25,1475075.75
High,Q15650,TRIP4,Activating signal cointegrator 1,4,2,2,3,581,66.1,7.85,
High,P56945,BCAR1,Breast cancer anti-estrogen resistance protein 1,4,3,3,5,870,93.3,5.67,1696211
High,P25786,PSMA1,Proteasome subunit alpha type-1,13,3,3,4,263,29.5,6.61,4179173.125
High,Q99829,CPNE1,Copine-1,4,2,2,6,537,59.0,5.83,2493540.625
High,P30740,SERPINB1,Leukocyte elastase inhibitor,6,2,1,3,379,42.7,6.28,
High,Q9NZJ4,SACS,Sacsin,1,4,4,4,4579,520.8,7.05,981756.59375
High,P08559,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",6,2,2,3,390,43.3,8.06,768453.9375
High,Q9NUQ6,SPATS2L,SPATS2-like protein,4,2,2,3,558,61.7,9.64,1721249.75
High,O00182,LGALS9,Galectin-9,6,2,2,4,355,39.5,9.17,12661642.5
High,O14976,GAK,Cyclin-G-associated kinase,3,3,3,4,1311,143.1,5.73,1551717.375
High,P63272,SUPT4H1,Transcription elongation factor SPT4,20,2,2,3,117,13.2,8.06,10058476.75
High,P49207,RPL34,60S ribosomal protein L34,14,3,3,7,117,13.3,11.47,21443944.375
High,Q9Y2V7,COG6,Conserved oligomeric Golgi complex subunit 6,3,2,2,2,657,73.2,5.76,1774800.25
High,Q8NHV4,NEDD1,Protein NEDD1,5,2,2,4,660,71.9,7.97,427776.1875
High,Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,4,2,2,3,521,57.0,8.46,1188556.9375
High,Q8TEQ6,GEMIN5,Gem-associated protein 5,2,2,2,2,1508,168.5,6.62,966398.125
High,O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,7,2,2,4,313,34.4,8.41,1373407.5
High,Q14166,TTLL12,Tubulin--tyrosine ligase-like protein 12,5,2,2,4,644,74.4,5.53,1066786.375
High,P40616,ARL1,ADP-ribosylation factor-like protein 1,11,2,2,3,181,20.4,5.72,2078116.5625
High,O75223,GGCT,Gamma-glutamylcyclotransferase,13,2,2,4,188,21.0,5.14,1338408.90625
High,P12004,PCNA,Proliferating cell nuclear antigen,10,2,2,3,261,28.8,4.69,2096295.125
High,Q9NZT2,OGFR,Opioid growth factor receptor,4,2,2,3,677,73.3,4.84,1569314.53125
High,Q96EV8,DTNBP1,Dysbindin,4,1,1,2,351,39.5,4.67,
High,Q5VWZ2,LYPLAL1,Lysophospholipase-like protein 1,7,2,2,3,237,26.3,7.84,1335852.65625
High,Q9Y5B6,PAXBP1,PAX3- and PAX7-binding protein 1,2,2,2,4,917,104.7,5.68,2352428.4375
High,P52815,MRPL12,"39S ribosomal protein L12, mitochondrial",11,2,2,4,198,21.3,8.87,2447288.75
High,P68036,UBE2L3,Ubiquitin-conjugating enzyme E2 L3,10,1,1,2,154,17.9,8.51,1864571.75
High,Q92896,GLG1,Golgi apparatus protein 1,2,2,2,2,1179,134.5,6.9,719050
High,Q14145,KEAP1,Kelch-like ECH-associated protein 1,4,2,2,4,624,69.6,6.44,7894490.9375
High,Q9UKA9,PTBP2,Polypyrimidine tract-binding protein 2,3,2,1,7,531,57.5,8.66,5890097
High,P55735,SEC13,Protein SEC13 homolog,6,2,2,2,322,35.5,5.48,2166384.9375
High,O75828,CBR3,Carbonyl reductase [NADPH] 3,6,1,1,1,277,30.8,6.18,
High,O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,5,3,3,3,703,77.9,6.24,1626133.4375
High,Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3,7,2,2,4,283,30.6,8.66,2806890.0625
High,O95671,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,5,3,3,3,621,68.8,6.07,2977341.5
High,O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",6,3,3,7,412,46.3,8.82,8999247.125
High,P53634,CTSC,Dipeptidyl peptidase 1,5,2,2,4,463,51.8,6.99,2853948.0625
High,Q6PJ69,TRIM65,E3 ubiquitin-protein ligase TRIM65,4,2,2,3,517,57.3,6.7,695635.8125
High,Q9NPD3,EXOSC4,Exosome complex component RRP41,9,2,2,3,245,26.4,6.52,1750234.25
High,Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,5,2,2,4,309,35.8,6.8,1805382.8125
High,Q92615,LARP4B,La-related protein 4B,4,2,2,2,738,80.5,6.92,582428.875
High,Q13464,ROCK1,Rho-associated protein kinase 1,3,3,1,3,1354,158.1,5.9,
High,P05386,RPLP1,60S acidic ribosomal protein P1,14,1,1,1,114,11.5,4.32,36168236
High,Q96AE4,FUBP1,Far upstream element-binding protein 1,3,2,1,3,644,67.5,7.61,
High,Q9BTT0,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,5,2,2,4,268,30.7,3.85,5551603.5
High,P84243,H3-3B,Histone H3.3,20,3,3,6,136,15.3,11.27,61498247
High,Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13,9,3,3,3,376,42.9,5.81,1513363.875
High,P51398,DAP3,"28S ribosomal protein S29, mitochondrial",6,2,2,2,398,45.5,8.88,474468.34375
High,Q96C19,EFHD2,EF-hand domain-containing protein D2,10,3,3,4,240,26.7,5.2,2268706.1875
High,Q6ZVX7,NCCRP1,F-box only protein 50,14,2,2,2,275,30.8,6.62,2948828.125
High,Q13637,RAB32,Ras-related protein Rab-32,10,2,2,4,225,25.0,6.54,2233320.25
High,O75663,TIPRL,TIP41-like protein,9,2,2,3,272,31.4,5.91,2322735.3125
High,P54105,CLNS1A,Methylosome subunit pICln,5,1,1,1,237,26.2,4.11,758983.625
High,Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,8,2,2,4,302,34.5,8.25,2401398.125
High,Q9UH65,SWAP70,Switch-associated protein 70,6,3,3,5,585,69.0,5.87,3044137.9375
High,P14174,MIF,Macrophage migration inhibitory factor,10,1,1,2,115,12.5,7.88,3591872
High,Q12965,MYO1E,Unconventional myosin-Ie,3,3,3,4,1108,127.0,8.92,736807.9375
High,O75396,SEC22B,Vesicle-trafficking protein SEC22b,8,2,2,4,215,24.7,8.51,1657440.875
High,Q8N699,MYCT1,Myc target protein 1,12,2,2,3,235,26.6,9.83,401744.5
High,Q9Y6G9,DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 1,6,2,2,3,523,56.5,6.42,651222
High,O75131,CPNE3,Copine-3,5,3,3,3,537,60.1,5.85,5692297.625
High,Q9NZN8,CNOT2,CCR4-NOT transcription complex subunit 2,5,2,2,3,540,59.7,7.66,1362938.25
High,P08754,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3,4,1,1,2,354,40.5,5.69,
High,Q9H9A6,LRRC40,Leucine-rich repeat-containing protein 40,7,4,4,6,602,68.2,6.43,1806673.3125
High,Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",5,2,2,2,649,70.9,7.39,
High,Q9UPN7,PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1,2,1,1,1,881,96.7,4.55,
High,P21266,GSTM3,Glutathione S-transferase Mu 3,8,2,2,4,225,26.5,5.54,2423380.875
High,P16070,CD44,CD44 antigen,2,1,1,2,742,81.5,5.33,1028479.25
High,Q01469,FABP5,Fatty acid-binding protein 5,13,2,2,3,135,15.2,7.01,6270317.75
High,Q9HCD5,NCOA5,Nuclear receptor coactivator 5,3,1,1,1,579,65.5,9.6,745533.9375
High,Q86UK7,ZNF598,E3 ubiquitin-protein ligase ZNF598,1,1,1,2,904,98.6,8.4,1378379.5
High,O00418,EEF2K,Eukaryotic elongation factor 2 kinase,3,2,2,3,725,82.1,5.33,1756364.4375
High,Q9Y266,NUDC,Nuclear migration protein nudC,3,1,1,2,331,38.2,5.38,1458146.375
High,P63279,UBE2I,SUMO-conjugating enzyme UBC9,15,2,2,2,158,18.0,8.66,419308.21875
High,Q8TC12,RDH11,Retinol dehydrogenase 11,8,2,2,3,318,35.4,8.82,1613618.375
High,Q08170,SRSF4,Serine/arginine-rich splicing factor 4,3,2,1,4,494,56.6,11.52,4061987.5
High,P36969,GPX4,Phospholipid hydroperoxide glutathione peroxidase,17,2,2,2,197,22.2,8.37,5159950.5
High,Q8TCJ2,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,2,2,2,3,826,93.6,8.91,668980.25
High,P01859,IGHG2,Immunoglobulin heavy constant gamma 2,11,3,2,4,395,43.8,6.52,11348776
High,Q99717,SMAD5,Mothers against decapentaplegic homolog 5,3,2,2,3,465,52.2,7.71,1952557.4375
High,P54840,GYS2,"Glycogen [starch] synthase, liver",2,1,1,2,703,80.9,6.83,2085408.25
High,P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit beta,5,2,2,4,410,46.6,7.37,2240536.25
High,Q96EK7,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,2,1,1,2,910,103.7,5.69,
High,Q9BVP2,GNL3,Guanine nucleotide-binding protein-like 3,2,1,1,2,549,62.0,9.16,695947.125
High,O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",7,3,3,5,385,42.2,8.46,1868949.625
High,P20618,PSMB1,Proteasome subunit beta type-1,8,2,2,3,241,26.5,8.13,881703.4375
High,O60783,MRPS14,"28S ribosomal protein S14, mitochondrial",10,1,1,2,128,15.1,11.41,1088444.375
High,P52926,HMGA2,High mobility group protein HMGI-C,21,1,1,2,109,11.8,10.62,1754325.375
High,Q9Y2L5,TRAPPC8,Trafficking protein particle complex subunit 8,4,4,4,4,1435,160.9,6.87,679644.3125
High,O95249,GOSR1,Golgi SNAP receptor complex member 1,5,1,1,1,250,28.6,9.42,514746
High,Q9NX63,CHCHD3,MICOS complex subunit MIC19,12,2,2,3,227,26.1,8.28,975985.4375
High,Q12899,TRIM26,Tripartite motif-containing protein 26,2,1,1,2,539,62.1,5.03,866787.125
High,Q9BSJ2,TUBGCP2,Gamma-tubulin complex component 2,4,3,3,5,902,102.5,6.84,2606551.6875
High,O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,5,3,3,3,534,60.9,8.44,624069.75
High,Q9P0J0,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,7,1,1,2,144,16.7,8.43,1028935.875
High,P53680,AP2S1,AP-2 complex subunit sigma,11,2,2,4,142,17.0,6.18,7194551.75
High,P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15,15,2,2,4,127,14.4,9.6,4493347.375
High,Q99735,MGST2,Microsomal glutathione S-transferase 2,10,1,1,2,147,16.6,9.55,2404392.25
High,Q14331,FRG1,Protein FRG1,5,1,1,1,258,29.2,9.01,
High,Q9BTE3,MCMBP,Mini-chromosome maintenance complex-binding protein,4,2,2,2,642,72.9,5.87,1230427.875
High,Q9BVC6,TMEM109,Transmembrane protein 109,5,1,1,2,243,26.2,10.48,882225.875
High,Q15008,PSMD6,26S proteasome non-ATPase regulatory subunit 6,5,2,2,3,389,45.5,5.62,2502757.5
High,O95810,CAVIN2,Caveolae-associated protein 2,4,2,2,4,425,47.1,5.21,3942260
High,Q99536,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,6,2,2,3,393,41.9,6.29,
High,P51452,DUSP3,Dual specificity protein phosphatase 3,7,1,1,2,185,20.5,7.8,687127.875
High,Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase,7,2,2,3,308,36.0,9.45,2465438.25
High,O75044,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,2,2,2,2,1071,120.8,6.7,707476.8125
High,P62273,RPS29,40S ribosomal protein S29,20,1,1,2,56,6.7,10.13,11020245
High,Q9BT78,COPS4,COP9 signalosome complex subunit 4,3,1,1,2,406,46.2,5.83,1092423.75
High,Q96S59,RANBP9,Ran-binding protein 9,2,2,1,3,729,77.8,6.79,872546.25
High,Q9NR56,MBNL1,Muscleblind-like protein 1,3,1,1,2,388,41.8,8.9,3009306.25
High,P43487,RANBP1,Ran-specific GTPase-activating protein,5,1,1,1,201,23.3,5.29,
High,Q9NS69,TOMM22,Mitochondrial import receptor subunit TOM22 homolog,15,1,1,2,142,15.5,4.34,
High,Q9BPX5,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein,16,2,2,3,153,16.9,6.6,1940271.75
High,Q969T9,WBP2,WW domain-binding protein 2,6,2,2,3,261,28.1,5.91,2202335.3125
High,O75964,ATP5MG,"ATP synthase subunit g, mitochondrial",36,3,3,5,103,11.4,9.64,4346687.25
High,P29728,OAS2,2'-5'-oligoadenylate synthase 2,4,3,3,4,719,82.4,8.25,3435061.25
High,Q9UH77,KLHL3,Kelch-like protein 3,3,2,2,2,587,64.9,5.45,1598880.6875
High,O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,14,3,3,4,338,38.3,5.53,1118257.25
High,Q15208,STK38,Serine/threonine-protein kinase 38,2,1,1,1,465,54.2,7.15,413797.40625
High,O14530,TXNDC9,Thioredoxin domain-containing protein 9,5,1,1,1,226,26.5,5.88,648103.0625
High,Q96T76,MMS19,MMS19 nucleotide excision repair protein homolog,1,1,1,1,1030,113.2,6.35,964930
High,Q9Y2Z0,SUGT1,Protein SGT1 homolog,3,1,1,2,365,41.0,5.16,1536547.375
High,Q9BTC0,DIDO1,Death-inducer obliterator 1,1,2,2,2,2240,243.7,7.88,
High,Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,3,2,2,2,1102,128.2,5.55,3558905
High,Q9H9B4,SFXN1,Sideroflexin-1,3,1,1,2,322,35.6,9.07,1068415.25
High,Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,3,2,2,3,757,86.3,5.16,1033138.1875
High,Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B,10,2,2,3,186,21.5,8.43,1240062.625
High,O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,2,1,1,1,582,64.8,5.29,903552.4375
High,Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,8,1,1,1,142,16.0,4.86,1036901.9375
High,Q5T8P6,RBM26,RNA-binding protein 26,2,2,1,3,1007,113.5,9.16,1064891.125
High,O00506,STK25,Serine/threonine-protein kinase 25,6,2,2,3,426,48.1,6.74,1689157.5625
High,P19623,SRM,Spermidine synthase,6,2,2,3,302,33.8,5.49,1818843.5625
High,P00390,GSR,"Glutathione reductase, mitochondrial",4,2,2,3,522,56.2,8.5,2004472.5625
High,P60981,DSTN,Destrin,16,3,3,5,165,18.5,7.85,7873457
High,Q12802,AKAP13,A-kinase anchor protein 13,1,3,3,4,2813,307.4,5.24,1838434.3125
High,Q8NDZ4,DIPK2A,Divergent protein kinase domain 2A,3,1,1,2,430,49.5,8.53,932003.6875
High,Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,6,2,2,3,357,39.3,8.1,1023340.125
High,Q12891,HYAL2,Hyaluronidase-2,8,2,2,3,473,53.8,8.19,2136407.9375
High,Q15286,RAB35,Ras-related protein Rab-35,5,1,1,2,201,23.0,8.29,3792124.25
High,Q9Y5R8,TRAPPC1,Trafficking protein particle complex subunit 1,12,2,2,3,145,16.8,9.16,1742397.0625
High,Q9UGJ0,PRKAG2,5'-AMP-activated protein kinase subunit gamma-2,2,1,1,2,569,63.0,9.35,715574.8125
High,Q86XZ4,SPATS2,Spermatogenesis-associated serine-rich protein 2,2,1,1,2,545,59.5,8.9,652327
High,Q9BRZ2,TRIM56,E3 ubiquitin-protein ligase TRIM56,4,2,2,3,755,81.4,7.74,1149157.125
High,O94967,WDR47,WD repeat-containing protein 47,2,1,1,1,919,101.9,5.94,473483.125
High,Q8NHP8,PLBD2,Putative phospholipase B-like 2,3,2,2,2,589,65.4,6.8,1939060.125
High,O75190,DNAJB6,DnaJ homolog subfamily B member 6,3,1,1,2,326,36.1,9.16,948654.5
High,Q6ZNL6,FGD5,"FYVE, RhoGEF and PH domain-containing protein 5",1,2,2,4,1462,159.8,5.01,1486055.1875
High,P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3,13,3,3,3,275,31.4,4.92,1482445.625
High,P28300,LOX,Protein-lysine 6-oxidase,6,2,2,3,417,46.9,8.09,
High,Q04323,UBXN1,UBX domain-containing protein 1,10,1,1,1,297,33.3,5.25,1131955.25
High,P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,3,1,1,1,435,49.9,6.27,
High,Q9H089,LSG1,Large subunit GTPase 1 homolog,3,2,2,2,658,75.2,6.38,
High,Q03113,GNA12,Guanine nucleotide-binding protein subunit alpha-12,3,1,1,2,381,44.3,9.83,5463538
High,Q9UKM9,RALY,RNA-binding protein Raly,5,2,2,3,306,32.4,9.17,1975127.875
High,Q7Z3U7,MON2,Protein MON2 homolog,2,3,3,4,1717,190.2,6.06,1857717.75
High,Q5VYK3,ECPAS,Proteasome adapter and scaffold protein ECM29,1,2,2,3,1845,204.2,7.12,1234092.375
High,Q9Y6W5,WASF2,Actin-binding protein WASF2,3,1,1,1,498,54.3,5.53,
High,O95372,LYPLA2,Acyl-protein thioesterase 2,7,2,2,3,231,24.7,7.23,4192681.625
High,P83111,LACTB,"Serine beta-lactamase-like protein LACTB, mitochondrial",2,1,1,2,547,60.7,8.53,1656430.25
High,O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,7,2,2,3,310,34.6,6.52,1112479.125
High,Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6,1,2,2,2,1792,201.4,9.64,1682776.25
High,P62993,GRB2,Growth factor receptor-bound protein 2,6,1,1,2,217,25.2,6.32,990171.625
High,Q15404,RSU1,Ras suppressor protein 1,6,2,2,3,277,31.5,8.65,2868436.875
High,P61803,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,9,1,1,1,113,12.5,7.08,2212328
High,P63000,RAC1,Ras-related C3 botulinum toxin substrate 1,11,2,1,4,192,21.4,8.5,1934077.75
High,Q9H0U4,RAB1B,Ras-related protein Rab-1B,7,1,1,2,201,22.2,5.73,800954.5625
High,P46736,BRCC3,Lys-63-specific deubiquitinase BRCC36,5,1,1,2,316,36.0,5.92,1117335.125
High,Q9UEE9,CFDP1,Craniofacial development protein 1,3,1,1,2,299,33.6,4.81,1706066.75
High,O00203,AP3B1,AP-3 complex subunit beta-1,3,3,3,3,1094,121.2,6.04,551138.75
High,Q96EY1,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",4,2,2,3,480,52.5,9.26,2309745.75
High,Q9Y4K4,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,1,1,1,2,846,95.0,7.83,413519.28125
High,Q7Z739,YTHDF3,YTH domain-containing family protein 3,2,1,1,2,585,63.8,9.04,624135.1875
High,O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,4,2,2,3,456,52.9,7.65,1074909.65625
High,Q9Y4X5,ARIH1,E3 ubiquitin-protein ligase ARIH1,3,1,1,1,557,64.1,5.08,417854.46875
High,Q08380,LGALS3BP,Galectin-3-binding protein,4,2,2,3,585,65.3,5.27,
High,Q9HC38,GLOD4,Glyoxalase domain-containing protein 4,4,1,1,1,313,34.8,5.6,
High,P51665,PSMD7,26S proteasome non-ATPase regulatory subunit 7,3,1,1,2,324,37.0,6.77,703978.75
High,P50995,ANXA11,Annexin A11,4,2,2,3,505,54.4,7.65,1351799.125
High,Q3KQU3,MAP7D1,MAP7 domain-containing protein 1,1,1,1,2,841,92.8,10.11,984099.625
High,P30520,ADSS2,Adenylosuccinate synthetase isozyme 2,3,1,1,1,456,50.1,6.55,
High,O75323,NIPSNAP2,Protein NipSnap homolog 2,5,2,1,2,286,33.7,9.36,1625022.375
High,P04183,TK1,"Thymidine kinase, cytosolic",6,1,1,3,234,25.5,8.51,1009006.0625
High,Q7L5N1,COPS6,COP9 signalosome complex subunit 6,5,1,1,2,327,36.1,5.73,
High,Q9NPQ8,RIC8A,Synembryn-A,3,1,1,2,531,59.7,5.33,474238.65625
High,Q15369,ELOC,Elongin-C,12,1,1,2,112,12.5,4.78,898318.5
High,Q16186,ADRM1,Proteasomal ubiquitin receptor ADRM1,5,2,2,3,407,42.1,5.07,1566952.375
High,Q05193,DNM1,Dynamin-1,2,2,2,3,864,97.3,7.17,2192469.25
High,P82930,MRPS34,"28S ribosomal protein S34, mitochondrial",11,3,3,5,218,25.6,9.98,1905210.0625
High,P00450,CP,Ceruloplasmin,1,1,1,1,1065,122.1,5.72,1359447.875
High,O43896,KIF1C,Kinesin-like protein KIF1C,1,1,1,5,1103,122.9,6.9,2877864.4375
High,Q13404,UBE2V1,Ubiquitin-conjugating enzyme E2 variant 1,13,2,2,3,147,16.5,7.93,1931821.375
High,Q9H479,FN3K,Fructosamine-3-kinase,4,1,1,2,309,35.1,7.55,
High,Q9NSV4,DIAPH3,Protein diaphanous homolog 3,3,3,3,3,1193,136.8,7.03,1088399.375
High,Q9Y5A9,YTHDF2,YTH domain-containing family protein 2,2,1,1,2,579,62.3,8.79,624819
High,O43148,RNMT,mRNA cap guanine-N7 methyltransferase,4,2,2,2,476,54.8,6.61,1934305
High,P04004,VTN,Vitronectin,3,1,1,1,478,54.3,5.8,3385837
High,P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4,3,1,1,1,377,40.7,4.79,
High,Q13418,ILK,Integrin-linked protein kinase,7,3,3,4,452,51.4,8.07,1981020.75
High,Q9Y2X3,NOP58,Nucleolar protein 58,4,2,2,2,529,59.5,8.92,514319.28125
High,Q71RC2,LARP4,La-related protein 4,3,2,2,3,724,80.5,6.61,
High,P69905,HBA2,Hemoglobin subunit alpha,6,1,1,3,142,15.2,8.68,887833.3125
High,Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,2,2,2,4,859,96.3,9.06,1680654.5
High,O94972,TRIM37,E3 ubiquitin-protein ligase TRIM37,3,3,3,4,964,107.8,5.15,3048612.9375
High,Q5SQS8,C10orf120,Uncharacterized protein C10orf120,4,1,1,2,335,39.2,9.44,15782204
High,Q9UK59,DBR1,Lariat debranching enzyme,6,3,3,4,544,61.5,5.47,1940029.25
High,Q14562,DHX8,ATP-dependent RNA helicase DHX8,2,2,1,3,1220,139.2,8.32,
High,Q9BYB0,SHANK3,SH3 and multiple ankyrin repeat domains protein 3,2,3,2,5,1731,184.6,8.88,478057.53125
High,P61077,UBE2D3,Ubiquitin-conjugating enzyme E2 D3,7,1,1,2,147,16.7,7.8,2335064.75
High,Q9UBB6,NCDN,Neurochondrin,2,1,1,2,729,78.8,5.48,360452.875
High,Q9BZH6,WDR11,WD repeat-containing protein 11,2,2,2,2,1224,136.6,6.92,620547
High,Q16610,ECM1,Extracellular matrix protein 1,4,1,1,2,540,60.6,6.71,
High,A0A3B3IU46,RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,18,2,2,3,118,14.4,8.4,563708.75
High,O15427,SLC16A3,Monocarboxylate transporter 4,3,1,1,1,465,49.4,7.96,1405645.875
High,Q9BU76,MMTAG2,Multiple myeloma tumor-associated protein 2,5,1,1,2,263,29.4,10.02,1392304.625
High,Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",2,1,1,2,740,81.5,7.66,5901265.5
High,Q16513,PKN2,Serine/threonine-protein kinase N2,2,2,2,2,984,112.0,6.3,1608517.625
High,P82979,SARNP,SAP domain-containing ribonucleoprotein,9,2,2,2,210,23.7,6.42,852002.5625
High,O75940,SMNDC1,Survival of motor neuron-related-splicing factor 30,5,1,1,2,238,26.7,7.24,1013619.0625
High,Q8IWS0,PHF6,PHD finger protein 6,5,2,2,2,365,41.3,8.68,986394.8125
High,Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,7,1,1,2,263,28.3,8.38,1004548.8125
High,Q9UI47,CTNNA3,Catenin alpha-3,2,2,1,2,895,99.7,6.16,940907.5
High,Q5HYI8,RABL3,Rab-like protein 3,5,1,1,1,236,26.4,7.11,
High,P98170,XIAP,E3 ubiquitin-protein ligase XIAP,3,1,1,1,497,56.6,6.65,
High,Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2,3,1,1,1,638,71.4,5.2,677746.1875
High,P62857,RPS28,40S ribosomal protein S28,30,2,2,2,69,7.8,10.7,2404023.9375
High,O75342,ALOX12B,"Arachidonate 12-lipoxygenase, 12R-type",3,2,2,3,701,80.3,7.64,1543200.625
High,P30566,ADSL,Adenylosuccinate lyase,5,2,2,2,484,54.9,7.11,2252317.625
High,O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A,1,1,1,2,957,108.7,7.56,1315331.75
High,P07737,PFN1,Profilin-1,10,1,1,2,140,15.0,8.27,1298368.625
High,Q04206,RELA,Transcription factor p65,3,1,1,2,551,60.2,5.68,970034.25
High,Q96L92,SNX27,Sorting nexin-27,4,2,2,3,541,61.2,6.49,1314461.125
High,Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1,10,2,2,2,271,31.3,4.94,
High,P55196,AFDN,Afadin,1,1,1,1,1824,206.7,6.47,
High,O60678,PRMT3,Protein arginine N-methyltransferase 3,5,2,2,2,531,59.9,5.35,499679.3125
